序号,城市,公司名称,公司类型,目标岗位,总分,入门友好度,注册资本,成立年,登记状态,BOSS搜索,智联搜索,电话/邮箱,投递方式,已确认岗位,是否在招,联系状态,备注
58,常州,常州常工电子科技股份有限公司,中小集团,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,268.0,32.0,2327万人民币,2000,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E5%B8%B8%E5%B7%A5%E7%94%B5%E5%AD%90%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E5%B8%B8%E5%B7%A5%E7%94%B5%E5%AD%90%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
59,常州,常州海蓝利科物联网技术有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,266.0,44.0,200万人民币,2016,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E6%B5%B7%E8%93%9D%E5%88%A9%E7%A7%91%E7%89%A9%E8%81%94%E7%BD%91%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E6%B5%B7%E8%93%9D%E5%88%A9%E7%A7%91%E7%89%A9%E8%81%94%E7%BD%91%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
60,常州,常州光迅数据科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,265.0,42.0,100万人民币,2026,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E5%85%89%E8%BF%85%E6%95%B0%E6%8D%AE%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E5%85%89%E8%BF%85%E6%95%B0%E6%8D%AE%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
61,常州,常州市源舜系统集成有限公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,264.0,49.0,50万人民币,2020,在业,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E5%B8%82%E6%BA%90%E8%88%9C%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E5%B8%82%E6%BA%90%E8%88%9C%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
62,常州,常州凯艾软件开发有限公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,264.0,40.0,10万人民币,2024,在业,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E5%87%AF%E8%89%BE%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E5%87%AF%E8%89%BE%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
63,常州,常州智构视界软件开发有限公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,264.0,40.0,20万人民币,2025,在业,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E6%99%BA%E6%9E%84%E8%A7%86%E7%95%8C%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E6%99%BA%E6%9E%84%E8%A7%86%E7%95%8C%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
64,常州,常州达拉通软件开发有限公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,264.0,40.0,10万人民币,2025,在业,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E8%BE%BE%E6%8B%89%E9%80%9A%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E8%BE%BE%E6%8B%89%E9%80%9A%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
65,常州,常州有信软件开发有限责任公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,264.0,40.0,10万人民币,2025,在业,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E6%9C%89%E4%BF%A1%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E6%9C%89%E4%BF%A1%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,,,,,,
66,常州,常州华想云计算有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,262.0,49.0,200万人民币,2020,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E5%8D%8E%E6%83%B3%E4%BA%91%E8%AE%A1%E7%AE%97%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E5%8D%8E%E6%83%B3%E4%BA%91%E8%AE%A1%E7%AE%97%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
67,常州,常州韵初软件开发有限公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,262.0,40.0,10万人民币,2025,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E9%9F%B5%E5%88%9D%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E9%9F%B5%E5%88%9D%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
68,常州,常州艺数空间软件开发有限公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,262.0,40.0,10万人民币,2024,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E8%89%BA%E6%95%B0%E7%A9%BA%E9%97%B4%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E8%89%BA%E6%95%B0%E7%A9%BA%E9%97%B4%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
69,常州,上海燚智云计算科技有限公司常州分公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,256.0,45.0,-,2024,在业,https://www.zhipin.com/web/geek/job?query=%E4%B8%8A%E6%B5%B7%E7%87%9A%E6%99%BA%E4%BA%91%E8%AE%A1%E7%AE%97%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%B8%B8%E5%B7%9E%E5%88%86%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E4%B8%8A%E6%B5%B7%E7%87%9A%E6%99%BA%E4%BA%91%E8%AE%A1%E7%AE%97%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%B8%B8%E5%B7%9E%E5%88%86%E5%85%AC%E5%8F%B8,,,,,,
70,常州,常州市红光电能科技股份有限公司,中小集团,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,255.0,32.0,4242万人民币,1981,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E5%B8%82%E7%BA%A2%E5%85%89%E7%94%B5%E8%83%BD%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E5%B8%82%E7%BA%A2%E5%85%89%E7%94%B5%E8%83%BD%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
71,常州,上海燚健云计算科技有限公司常州分公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,254.0,45.0,-,2025,存续,https://www.zhipin.com/web/geek/job?query=%E4%B8%8A%E6%B5%B7%E7%87%9A%E5%81%A5%E4%BA%91%E8%AE%A1%E7%AE%97%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%B8%B8%E5%B7%9E%E5%88%86%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E4%B8%8A%E6%B5%B7%E7%87%9A%E5%81%A5%E4%BA%91%E8%AE%A1%E7%AE%97%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%B8%B8%E5%B7%9E%E5%88%86%E5%85%AC%E5%8F%B8,,,,,,
72,常州,常州市惠昌传感器有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,251.0,39.0,280万人民币,2000,在业,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E5%B8%82%E6%83%A0%E6%98%8C%E4%BC%A0%E6%84%9F%E5%99%A8%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E5%B8%82%E6%83%A0%E6%98%8C%E4%BC%A0%E6%84%9F%E5%99%A8%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
73,常州,常州卓飞系统集成有限公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,244.0,40.0,50万人民币,2024,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E5%8D%93%E9%A3%9E%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E5%8D%93%E9%A3%9E%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
74,常州,常州汇宸云计算有限公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,239.0,43.0,20万人民币,2026,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E6%B1%87%E5%AE%B8%E4%BA%91%E8%AE%A1%E7%AE%97%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E6%B1%87%E5%AE%B8%E4%BA%91%E8%AE%A1%E7%AE%97%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
75,无锡,无锡开悟人工智能科技有限责任公司,中型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,300.0,43.0,1000万人民币,2020,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E5%BC%80%E6%82%9F%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E5%BC%80%E6%82%9F%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,,,,,,
76,无锡,无锡市荣诚软件开发科技有限公司,中型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,296.0,42.0,2996万人民币,2008,在业,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E5%B8%82%E8%8D%A3%E8%AF%9A%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E5%B8%82%E8%8D%A3%E8%AF%9A%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
77,无锡,无锡感知物联网信息技术有限公司,中型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,276.0,43.0,1000万人民币,2015,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E6%84%9F%E7%9F%A5%E7%89%A9%E8%81%94%E7%BD%91%E4%BF%A1%E6%81%AF%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E6%84%9F%E7%9F%A5%E7%89%A9%E8%81%94%E7%BD%91%E4%BF%A1%E6%81%AF%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
78,无锡,无锡优奇智能科技有限公司,中型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,275.0,43.0,3279.2134万人民币,2020,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E4%BC%98%E5%A5%87%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E4%BC%98%E5%A5%87%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
79,无锡,无锡建国智能科技有限公司,中型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,275.0,43.0,2080万人民币,2011,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E5%BB%BA%E5%9B%BD%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E5%BB%BA%E5%9B%BD%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
80,无锡,无锡丰瑞软件开发有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,272.0,46.0,835万人民币,2020,在业,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E4%B8%B0%E7%91%9E%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E4%B8%B0%E7%91%9E%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
81,无锡,卓品智能科技无锡股份有限公司,中小集团,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,272.0,35.0,1094.4444万人民币,2017,存续,https://www.zhipin.com/web/geek/job?query=%E5%8D%93%E5%93%81%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%97%A0%E9%94%A1%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%8D%93%E5%93%81%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%97%A0%E9%94%A1%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
82,无锡,无锡云佳和软件开发有限公司,中型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,271.0,43.0,3000万人民币,2023,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E4%BA%91%E4%BD%B3%E5%92%8C%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E4%BA%91%E4%BD%B3%E5%92%8C%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
83,无锡,无锡天云数据中心科技有限公司,中型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,270.0,42.0,1000万人民币,2015,在业,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E5%A4%A9%E4%BA%91%E6%95%B0%E6%8D%AE%E4%B8%AD%E5%BF%83%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E5%A4%A9%E4%BA%91%E6%95%B0%E6%8D%AE%E4%B8%AD%E5%BF%83%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
84,无锡,无锡嗨米威智能科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,269.0,46.0,500万人民币,2019,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E5%97%A8%E7%B1%B3%E5%A8%81%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E5%97%A8%E7%B1%B3%E5%A8%81%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
85,无锡,无锡砺成智能科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,269.0,46.0,500万人民币,2018,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E7%A0%BA%E6%88%90%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E7%A0%BA%E6%88%90%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
86,无锡,无锡力烨智能科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,266.0,49.0,300万人民币,2020,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E5%8A%9B%E7%83%A8%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E5%8A%9B%E7%83%A8%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
87,无锡,无锡安可力智能科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,266.0,43.0,500万人民币,2017,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E5%AE%89%E5%8F%AF%E5%8A%9B%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E5%AE%89%E5%8F%AF%E5%8A%9B%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
88,无锡,无锡昆特云计算科技有限公司,中型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,265.0,43.0,1000万人民币,2023,在业,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E6%98%86%E7%89%B9%E4%BA%91%E8%AE%A1%E7%AE%97%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E6%98%86%E7%89%B9%E4%BA%91%E8%AE%A1%E7%AE%97%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
89,无锡,无锡信立智能科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,263.0,49.0,200万人民币,2023,在业,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E4%BF%A1%E7%AB%8B%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E4%BF%A1%E7%AB%8B%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
90,无锡,无锡璟成系统集成科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,262.0,49.0,100万人民币,2022,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E7%92%9F%E6%88%90%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E7%92%9F%E6%88%90%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
91,无锡,无锡睿控物联网科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,261.0,43.0,500万人民币,2015,在业,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E7%9D%BF%E6%8E%A7%E7%89%A9%E8%81%94%E7%BD%91%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E7%9D%BF%E6%8E%A7%E7%89%A9%E8%81%94%E7%BD%91%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
92,无锡,无锡市辰阳软件开发有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,261.0,41.0,200万人民币,2011,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E5%B8%82%E8%BE%B0%E9%98%B3%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E5%B8%82%E8%BE%B0%E9%98%B3%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
93,无锡,无锡楚为盈软件开发有限责任公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,259.0,49.0,50万人民币,2020,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E6%A5%9A%E4%B8%BA%E7%9B%88%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E6%A5%9A%E4%B8%BA%E7%9B%88%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,,,,,,
94,无锡,无锡天博云计算科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,259.0,46.0,200万人民币,2016,在业,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E5%A4%A9%E5%8D%9A%E4%BA%91%E8%AE%A1%E7%AE%97%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E5%A4%A9%E5%8D%9A%E4%BA%91%E8%AE%A1%E7%AE%97%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
95,无锡,无锡云车物联网科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,259.0,43.0,500万人民币,2014,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E4%BA%91%E8%BD%A6%E7%89%A9%E8%81%94%E7%BD%91%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E4%BA%91%E8%BD%A6%E7%89%A9%E8%81%94%E7%BD%91%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
96,无锡,无锡市太湖云计算平台服务有限公司,中型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网）,258.0,43.0,1000万人民币,2008,存续,https://www.zhipin.com/web/geek/job?query=%E6%97%A0%E9%94%A1%E5%B8%82%E5%A4%AA%E6%B9%96%E4%BA%91%E8%AE%A1%E7%AE%97%E5%B9%B3%E5%8F%B0%E6%9C%8D%E5%8A%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E6%97%A0%E9%94%A1%E5%B8%82%E5%A4%AA%E6%B9%96%E4%BA%91%E8%AE%A1%E7%AE%97%E5%B9%B3%E5%8F%B0%E6%9C%8D%E5%8A%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
